id,code,name,user_type_id/id,chart_template_id:id,reconcile
140103_account_template_soor,140103,SHARE ACCOUNT – BOUBYAN PETROCH,account.data_account_type_equity,l10n_kw.account_kuwait_coa_general,FALSE
140104_account_template_soor,140104,SHARE ACCOUNT – AL-MAL,account.data_account_type_equity,l10n_kw.account_kuwait_coa_general,FALSE
140105_account_template_soor,140105,SHARE ACCOUNT – MUBARID,account.data_account_type_equity,l10n_kw.account_kuwait_coa_general,FALSE
140201_account_template_soor,140201,SALARY PAYABLE A/C,account.data_account_type_current_liabilities,l10n_kw.account_kuwait_coa_general,FALSE
140202_account_template_soor,140202,MONTHLY PAYABLE A/C,account.data_account_type_current_liabilities,l10n_kw.account_kuwait_coa_general,FALSE
140203_account_template_soor,140203,LEGAL SERVICE CHARGE PAYABLE A/C,account.data_account_type_current_liabilities,l10n_kw.account_kuwait_coa_general,FALSE
140501_account_template_soor,140501,SHARE REDUCTION NBK A/C,account.data_account_type_non_current_liabilities,l10n_kw.account_kuwait_coa_general,FALSE
140502_account_template_soor,140502,SHARE REDUCTION URE A/C,account.data_account_type_non_current_liabilities,l10n_kw.account_kuwait_coa_general,FALSE
140503_account_template_soor,140503,SHARE REDUCTION BOUBIYAN A/C,account.data_account_type_non_current_liabilities,l10n_kw.account_kuwait_coa_general,FALSE
140504_account_template_soor,140504,SHARE REDUCTION AL-MAL A/C,account.data_account_type_non_current_liabilities,l10n_kw.account_kuwait_coa_general,FALSE
140505_account_template_soor,140505,SHARE VALUE REDUCTION MUBARID A/C,account.data_account_type_non_current_liabilities,l10n_kw.account_kuwait_coa_general,FALSE
150001_account_template_soor,150001,FIXED ASSET MOTOR VEHICLES (XX11) A/C,account.data_account_type_fixed_assets,l10n_kw.account_kuwait_coa_general,FALSE
150002_account_template_soor,150002,FIXED ASSETS COMPUTER HARDWARE A/C,account.data_account_type_fixed_assets,l10n_kw.account_kuwait_coa_general,FALSE
150003_account_template_soor,150003,FIXED ASSETS FURNITURE AND FIXTURES A/C,account.data_account_type_fixed_assets,l10n_kw.account_kuwait_coa_general,FALSE
150004_account_template_soor,150004,FIXED ASSETS OFFICE EQUIPMENTS A/C,account.data_account_type_fixed_assets,l10n_kw.account_kuwait_coa_general,FALSE
150005_account_template_soor,150005,FIXED ASSETS TOOLS A/C,account.data_account_type_fixed_assets,l10n_kw.account_kuwait_coa_general,FALSE
150006_account_template_soor,150006,FIXED ASSET MOTOR VEHICLES (X1) A/C,account.data_account_type_fixed_assets,l10n_kw.account_kuwait_coa_general,FALSE
160101_account_template_soor,160101,ACCUM: DEPRECEATION_MOTOR VEHICLES (X1) A/C,account.data_account_type_fixed_assets,l10n_kw.account_kuwait_coa_general,FALSE
160102_account_template_soor,160102,ACCUM: DEPRECIATION _OFFICE EQUIPMENTS A/C,account.data_account_type_fixed_assets,l10n_kw.account_kuwait_coa_general,FALSE
160103_account_template_soor,160103,ACCUM: DEPRECIATION - FURNITURE & FIXTURES A/C,account.data_account_type_fixed_assets,l10n_kw.account_kuwait_coa_general,FALSE
160104_account_template_soor,160104,ACCUM: DEPRECIATION_TOOLS A/C,account.data_account_type_fixed_assets,l10n_kw.account_kuwait_coa_general,FALSE
160105_account_template_soor,160105,ACCUM: DEPRECEATION_MOTOR VEHICLES (XX11) A/C,account.data_account_type_fixed_assets,l10n_kw.account_kuwait_coa_general,FALSE
210001_account_template_soor,210001,ACCOUNTS PAYABLE A/C,account.data_account_type_current_liabilities,l10n_kw.account_kuwait_coa_general,FALSE
210002_account_template_soor,210002,LOCAL PURCHASE A/C,account.data_account_type_current_liabilities,l10n_kw.account_kuwait_coa_general,FALSE
220501_account_template_soor,220501,STAFF LEAVE INDEMNITY RESERVE A/C,account.data_account_type_non_current_liabilities,l10n_kw.account_kuwait_coa_general,FALSE
220502_account_template_soor,220502,STAFF SERVICE INDEMNITY RESERVE A/C,account.data_account_type_non_current_liabilities,l10n_kw.account_kuwait_coa_general,FALSE
220503_account_template_soor,220503,PROVISION FOR BONUS A/C,account.data_account_type_non_current_liabilities,l10n_kw.account_kuwait_coa_general,FALSE
220504_account_template_soor,220504,PROVISION FOR STOCK VALUE A/C,account.data_account_type_non_current_liabilities,l10n_kw.account_kuwait_coa_general,FALSE
220505_account_template_soor,220505,PROVISION FOR AUDIT FEE A/C,account.data_account_type_non_current_liabilities,l10n_kw.account_kuwait_coa_general,FALSE
220506_account_template_soor,220506,PROVISION FOR BAD DEBTS A/C,account.data_account_type_non_current_liabilities,l10n_kw.account_kuwait_coa_general,FALSE
220507_account_template_soor,220507,REFUNDABLE DEPOSIT A/C,account.data_account_type_current_liabilities,l10n_kw.account_kuwait_coa_general,FALSE
221101_account_template_soor,221101,SAI GENERAL TRADING & CONTRACTING CO.,account.data_account_type_current_liabilities,l10n_kw.account_kuwait_coa_general,FALSE
